index,shape-type,vertex-index,axis-0,axis-1,axis-2
0,path,0,21.0,1091.5958500897682,354.8445717544655
0,path,1,21.0,961.3646139189067,733.7059454011899
1,line,0,21.0,960.146937572528,734.6767341670848
1,line,1,21.0,1122.4196568822324,1095.6879524066517
2,line,0,21.0,1257.3430414768181,293.44080076316976
2,line,1,21.0,1182.5881932554935,714.6205553759978
3,line,0,21.0,1182.5881932554935,721.9137113000295
3,line,1,21.0,1313.8649998880633,1124.8605761027782
4,line,0,21.0,1426.908916710554,277.03119993409854
4,line,1,21.0,1377.6801142233403,681.8013537178554
5,line,0,21.0,1375.8568252423324,690.9177986228949
5,line,1,21.0,1463.3746963307121,1079.2783515775805
